original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes
23,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,41,v|hace-3s&pret=do,"&aahjj, y qué hizo ahora el sapo ?%mor: cm|cm coord|y=and pro:int|qué=what v|hace-3S&PRET=do adv|ahora=now det:art|el&m&SG=the n|sapo&m=toad ?",%svd:,hacer,DP-def,1,3,s,pret,,,,
24,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,44,v|entra-3s&pret=come_in,"le al, ent(r)ó ahí +...%mor: pro:ind|le=him aprep|a~det:art|el&m=to cm|cm v|entra-3S&PRET=come_in adv|ahí=there +...",%mor:,0,,,0,0,0,,,,
25,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,44,v|entra-3s&pret=come_in,"le al, ent(r)ó ahí +...%mor: pro:ind|le=him aprep|a~det:art|el&m=to cm|cm v|entra-3S&PRET=come_in adv|ahí=there +...",%svd:,entrar,0,1,3,s,pret,,,,
26,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,52,v|hace-3s&pret=do,y le hizo así !%mor: coord|y=and pro:ind|le=him v|hace-3S&PRET=do adv|así=thus !,%mor:,0,,,0,0,0,,,,
27,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,52,v|hace-3s&pret=do,y le hizo así !%mor: coord|y=and pro:ind|le=him v|hace-3S&PRET=do adv|así=thus !,%svd:,hacer,0,1,3,s,pret,,same,,
28,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,56,.,al pedo [: perro] .%mor: aprep|a~det:art|el&m=to n|perro-m=dog .,%mor:,0,,,0,0,0,,,,
29,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,62,v|entra-3s&pret=come_in,+< y ent(r)ó en su casa +...%mor: coord|y=and v|entra-3S&PRET=come_in prep|en=in det:poss|su&3S=his n|casa&f=house +...,%mor:,0,,,0,0,0,,,,
30,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,62,v|entra-3s&pret=come_in,+< y ent(r)ó en su casa +...%mor: coord|y=and v|entra-3S&PRET=come_in prep|en=in det:poss|su&3S=his n|casa&f=house +...,%svd:,entrar,0,1,3,s,pret,,same,,
31,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,65,.,y su pedo [: perro] ent(r)ó ajuera [: afuera] estaba .%mor: coord|y=and det:poss|su&3S=his n|perro-m=dog v|entra-3S&PRET=come_in adv|afuera=outside cop|esta-13S&PAS=be .,%mor:,0,,,0,0,0,,,,
32,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,65,v|entra-3s&pret=come_in,y su pedo [: perro] ent(r)ó ajuera [: afuera] estaba .%mor: coord|y=and det:poss|su&3S=his n|perro-m=dog v|entra-3S&PRET=come_in adv|afuera=outside cop|esta-13S&PAS=be .,%svd:,entrar,DP-def,1,3,s,pret,,switch,,
33,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,65,cop|esta-13s&pas=be,y su pedo [: perro] ent(r)ó ajuera [: afuera] estaba .%mor: coord|y=and det:poss|su&3S=his n|perro-m=dog v|entra-3S&PRET=come_in adv|afuera=outside cop|esta-13S&PAS=be .,%svd:,estar,0,1,3,s,pas,same,same,,
34,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,71,cop|esta-3s&pres=be,"&aaahjj, y el sapito dónde está ?%mor: cm|cm coord|y=and det:art|el&m&SG=the n|sapo&m-DIM=toad pro:int|dónde=where cop|esta-3S&PRES=be ?",%mor:,0,,,0,0,0,,,,
35,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,71,cop|esta-3s&pres=be,"&aaahjj, y el sapito dónde está ?%mor: cm|cm coord|y=and det:art|el&m&SG=the n|sapo&m-DIM=toad pro:int|dónde=where cop|esta-3S&PRES=be ?",%svd:,estar,DP-def,1,3,s,pres,,,,
36,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,74,cop|esta-13s&pas=be,estaba en el bo(l)sillo !%mor: cop|esta-13S&PAS=be prep|en=in det:art|el&m&SG=the n|bolso&m-DIM=money_bag !,%mor:,0,,,0,0,0,,,,
37,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,74,cop|esta-13s&pas=be,estaba en el bo(l)sillo !%mor: cop|esta-13S&PAS=be prep|en=in det:art|el&m&SG=the n|bolso&m-DIM=money_bag !,%svd:,estar,0,1,3,s,pas,,,,
38,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,79,cop|se-3p&pret=be,y adónde se fueron ?%mor: coord|y=and pro:int|adónde=whither pro:refl|se=itself cop|se-3P&PRET=be ?,%mor:,0,,,0,0,0,,,,
39,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,79,cop|se-3p&pret=be,y adónde se fueron ?%mor: coord|y=and pro:int|adónde=whither pro:refl|se=itself cop|se-3P&PRET=be ?,%svd:,ser,0,1,3,p,pret,,,,
40,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,82,.,estaban aviendos [: viendo] los tatuajes .%mor: cop|esta-3P&PAS=be part|ve-PROG=see det:art|el&m-PL=the n|tatuaje&m-PL=tattoo .,%mor:,0,,,0,0,0,,,,
41,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,82,cop|esta-3p&pas=be,estaban aviendos [: viendo] los tatuajes .%mor: cop|esta-3P&PAS=be part|ve-PROG=see det:art|el&m-PL=the n|tatuaje&m-PL=tattoo .,%svd:,estar,0,1,3,p,pas,,,,
42,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,85,.,y el sapo estaba en le [: el] bolsillo .%mor: coord|y=and det:art|el&m&SG=the n|sapo&m=toad cop|esta-13S&PAS=be prep|en=in det:art|el&m&SG=the n|bolso&m-DIM=money_bag .,%mor:,0,,,0,0,0,,,,
43,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,85,cop|esta-13s&pas=be,y el sapo estaba en le [: el] bolsillo .%mor: coord|y=and det:art|el&m&SG=the n|sapo&m=toad cop|esta-13S&PAS=be prep|en=in det:art|el&m&SG=the n|bolso&m-DIM=money_bag .,%svd:,estar,DP-def,1,3,s,pas,,switch,,
44,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,90,.,me parece que no es un lugar de tatuajes .%mor: pro:obj|me=me v|parece-3S&PRES=seem prep|que=than adv|no=no cop|se-3S&PRES=be det:art|un&m=one n|lugar&m=place prep|de=of n|tatuaje&m-PL=tattoo .,%mor:,0,,,0,0,0,,,,
45,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,90,v|parece-3s&pres=seem,me parece que no es un lugar de tatuajes .%mor: pro:obj|me=me v|parece-3S&PRES=seem prep|que=than adv|no=no cop|se-3S&PRES=be det:art|un&m=one n|lugar&m=place prep|de=of n|tatuaje&m-PL=tattoo .,%svd:,parecer,na,na,na,na,na,na,na,na,gustar-type verb
46,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,90,cop|se-3s&pres=be,me parece que no es un lugar de tatuajes .%mor: pro:obj|me=me v|parece-3S&PRES=seem prep|que=than adv|no=no cop|se-3S&PRES=be det:art|un&m=one n|lugar&m=place prep|de=of n|tatuaje&m-PL=tattoo .,%svd:,ser,0,0,3,s,pres,,,,
47,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,94,.,"es un lugar, un restorán donde se va a comer .%mor: cop|se-3S&PRES=be det:art|un&m=one n|lugar&m=place cm|cm det:art|un&m=one n|restorán&m=restaurant pro:rel|donde=where pro:refl|se=itself v|i-3S&PRES=go aprep|a=to inf|come-INF=eat .",%mor:,0,,,0,0,0,,,,
48,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,94,cop|se-3s&pres=be,"es un lugar, un restorán donde se va a comer .%mor: cop|se-3S&PRES=be det:art|un&m=one n|lugar&m=place cm|cm det:art|un&m=one n|restorán&m=restaurant pro:rel|donde=where pro:refl|se=itself v|i-3S&PRES=go aprep|a=to inf|come-INF=eat .",%svd:,ser,0,0,3,s,pres,,,,
49,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,94,v|i-3s&pres=go,"es un lugar, un restorán donde se va a comer .%mor: cop|se-3S&PRES=be det:art|un&m=one n|lugar&m=place cm|cm det:art|un&m=one n|restorán&m=restaurant pro:rel|donde=where pro:refl|se=itself v|i-3S&PRES=go aprep|a=to inf|come-INF=eat .",%svd:,ir,na,na,na,na,na,na,na,na,impersonal
50,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,99,v|pasa-3s&pret=pass,"&aahjj, y qué pasó ?%mor: cm|cm coord|y=and pro:int|qué=what v|pasa-3S&PRET=pass ?",%mor:,0,,,0,0,0,,,,
51,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,99,v|pasa-3s&pret=pass,"&aahjj, y qué pasó ?%mor: cm|cm coord|y=and pro:int|qué=what v|pasa-3S&PRET=pass ?",%svd:,pasar,wh,0,3,s,pret,,,,
52,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,101,cop|esta-3p&pas=be,dónde estaban ?%mor: pro:int|dónde=where cop|esta-3P&PAS=be ?,%mor:,0,,,0,0,0,,,,
53,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,101,cop|esta-3p&pas=be,dónde estaban ?%mor: pro:int|dónde=where cop|esta-3P&PAS=be ?,%svd:,estar,0,1,3,p,pas,,,,
54,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,103,.,"estaba por, se bajó .%mor: cop|esta-13S&PAS=be prep|por=for cm|cm pro:refl|se=itself v|baja-3S&PRET=come_down .",%mor:,0,,,0,0,0,,,,
55,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,103,cop|esta-13s&pas=be,"estaba por, se bajó .%mor: cop|esta-13S&PAS=be prep|por=for cm|cm pro:refl|se=itself v|baja-3S&PRET=come_down .",%svd:,estar,na,na,na,na,na,na,na,na,false start
56,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,103,v|baja-3s&pret=come_down,"estaba por, se bajó .%mor: cop|esta-13S&PAS=be prep|por=for cm|cm pro:refl|se=itself v|baja-3S&PRET=come_down .",%svd:,bajar,0,1,3,s,pret,,,,
57,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,108,cop|esta-3s&pres=be,dónde está el nene ?%mor: pro:int|dónde=where cop|esta-3S&PRES=be det:art|el&m&SG=the co:voc|nene=baby ?,%mor:,0,,,0,0,0,,,,
58,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,108,cop|esta-3s&pres=be,dónde está el nene ?%mor: pro:int|dónde=where cop|esta-3S&PRES=be det:art|el&m&SG=the co:voc|nene=baby ?,%svd:,estar,DP-def,1,3,s,pres,,,,
59,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,111,.,estaba en la silla y el sapo estaba en len [: el] bolsillo .%mor: cop|esta-13S&PAS=be prep|en=in det:art|el&f&SG=the n|silla&f=chair coord|y=and det:art|el&m&SG=the n|sapo&m=toad cop|esta-13S&PAS=be prep|en=in det:art|el&m&SG=the n|bolso&m-DIM=money_bag .,%mor:,0,,,0,0,0,,,,
60,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,111,cop|esta-13s&pas=be,estaba en la silla y el sapo estaba en len [: el] bolsillo .%mor: cop|esta-13S&PAS=be prep|en=in det:art|el&f&SG=the n|silla&f=chair coord|y=and det:art|el&m&SG=the n|sapo&m=toad cop|esta-13S&PAS=be prep|en=in det:art|el&m&SG=the n|bolso&m-DIM=money_bag .,%svd:,estar,0,1,3,s,pas,,,,
61,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,111,cop|esta-13s&pas=be,estaba en la silla y el sapo estaba en len [: el] bolsillo .%mor: cop|esta-13S&PAS=be prep|en=in det:art|el&f&SG=the n|silla&f=chair coord|y=and det:art|el&m&SG=the n|sapo&m=toad cop|esta-13S&PAS=be prep|en=in det:art|el&m&SG=the n|bolso&m-DIM=money_bag .,%svd:,estar,DP-def,1,3,s,pas,switch,switch,,
62,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,117,cop|esta-3s&pres=be,y con quién está ?%mor: coord|y=and prep|con=with pro:int|quién=who cop|esta-3S&PRES=be ?,%mor:,0,,,0,0,0,,,,
63,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,117,cop|esta-3s&pres=be,y con quién está ?%mor: coord|y=and prep|con=with pro:int|quién=who cop|esta-3S&PRES=be ?,%svd:,estar,0,1,3,s,pres,,,,
64,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,119,.,con e(l) nene .%mor: prep|con=with det:art|el&m&SG=the co:voc|nene=baby .,%mor:,0,,,0,0,0,,,,
65,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,121,cop|esta-3s&pres=be,"pero &ento, el nene con quién está ?%mor: conj|pero=but cm|cm det:art|el&m&SG=the co:voc|nene=baby prep|con=with pro:int|quién=who cop|esta-3S&PRES=be ?",%mor:,0,,,0,0,0,,,,
66,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,121,cop|esta-3s&pres=be,"pero &ento, el nene con quién está ?%mor: conj|pero=but cm|cm det:art|el&m&SG=the co:voc|nene=baby prep|con=with pro:int|quién=who cop|esta-3S&PRES=be ?",%svd:,estar,DP-def,1,3,s,pres,,,,
67,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,124,.,"con chu [: su] mamá y su &co, hermana .%mor: prep|con=with det:poss|su&3S=his n|mamá&f=mommy coord|y=and det:poss|su&3S=his cm|cm n|hermano-f=sibling .",%mor:,0,,,0,0,0,,,,
68,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,129,v|pasa-3s&pret=pass,y qué pasó acá ?%mor: coord|y=and pro:int|qué=what v|pasa-3S&PRET=pass adv|acá=there ?,%mor:,0,,,0,0,0,,,,
69,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,129,v|pasa-3s&pret=pass,y qué pasó acá ?%mor: coord|y=and pro:int|qué=what v|pasa-3S&PRET=pass adv|acá=there ?,%svd:,pasar,wh,0,3,s,pret,,,,
70,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,131,.,les ent(r)ó acá y quería sona(r)le a él .%mor: pro:ind|le-PL=them v|entra-3S&PRET=come_in adv|acá=there coord|y=and v|quere-13S&PAS=want inf|sona-INF~pro:clit|3S=sound aprep|a=to pro:sub|él&m=he .,%mor:,0,,,0,0,0,,,,
71,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,131,v|entra-3s&pret=come_in,les ent(r)ó acá y quería sona(r)le a él .%mor: pro:ind|le-PL=them v|entra-3S&PRET=come_in adv|acá=there coord|y=and v|quere-13S&PAS=want inf|sona-INF~pro:clit|3S=sound aprep|a=to pro:sub|él&m=he .,%svd:,entrar,0,1,3,s,pret,,,,
72,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,131,v|quere-13s&pas=want,les ent(r)ó acá y quería sona(r)le a él .%mor: pro:ind|le-PL=them v|entra-3S&PRET=come_in adv|acá=there coord|y=and v|quere-13S&PAS=want inf|sona-INF~pro:clit|3S=sound aprep|a=to pro:sub|él&m=he .,%svd:,querer,0,1,3,s,pas,same?,same?,,unclear reference
73,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,135,v|entra-3s&pret=come_in,"&aaahhjj, quién entró ?%mor: cm|cm pro:int|quién=who v|entra-3S&PRET=come_in ?",%mor:,0,,,0,0,0,,,,
74,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,135,v|entra-3s&pret=come_in,"&aaahhjj, quién entró ?%mor: cm|cm pro:int|quién=who v|entra-3S&PRET=come_in ?",%svd:,entrar,wh,1,3,s,pret,,,,
75,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,141,v|hace-3s&pret=do,y mirá qué hizo !%mor: coord|y=and co|mirá pro:int|qué=what v|hace-3S&PRET=do !,%mor:,0,,,0,0,0,,,,
76,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,141,v|hace-3s&pret=do,y mirá qué hizo !%mor: coord|y=and co|mirá pro:int|qué=what v|hace-3S&PRET=do !,%svd:,hacer,0,1,3,s,pret,,,,
